activation probes,活化探针
adiabatic invariant,绝热不变量
Alfvén,阿尔芬
ambipolar diffusion,双极性扩散
ampereturn,安匝数
aspect-ratio,环径比
aspect ratio,环径比
backscattering parametric instabilities,反向散射的参量不稳定性
ballooning instability,气球模不稳定性
ballooning mode,气球模
binary collision,二体碰撞
binary mixtures,二元混合物
blanket,包层
Bohm shealh criterion,玻姆鞘层判据
Bohm time,玻姆时间
bootstrap current,自举电流
bow shock,弓形激波
bump-on-the-tail,尾巴有包
canonical,正则
charge exchange,电荷交换
child-langmuir law,蔡尔德朗缪尔定律                             -
circulating particle,通行粒子
complex argument,复宗量
configuration,位形
confinement scaling relations,约束定标关系
confinement scaling,约束定标率
confinement,约束
collision term,碰撞项
collision integral,碰撞积分
convective cells,对流单元
convective derivative,运流微商
core plasma,芯部等离子体
criteria,判据
current penetration,电流穿透
curvature drift,曲率漂移
debye length,德拜长度
debye shielding,德拜屏蔽
decay instability,衰变不稳定性
density pedestal,密度台基
destabilization,失稳
device,装置
diamagnetic,抗磁
dispersion surface,色散关系面
disruption,破裂
divertor,偏滤器
diverted plasma,偏滤器位形等离子体
diverted shape,偏滤器位形形态
double-plasma device,双等离子体(DP)装置
double null,双零
DP device,双等离子体(DP)装置
Dreicer field,德雷瑟电场
drift wave instability,漂移波不稳定性
dynamic form factor,动力学形状因子
edge localized mode,边缘局域模
edge transport barrier,边缘输运垒
electron drift mode,电子漂移波模
electron temperature gradient mode,电子温度梯度模
electrostatic probe,静电探针
equation of state,状态方程
ergodicity,遍历性
error field,误差场
external kink mode,外扭曲模
extraordinary wave,非寻常波
extraordinary mode,非寻常模
far-infrared laser,远红外激光器
fast ignition,快点火
Ficks law,菲克定律
field null,零场
field reversed configuration,场反位形
figure of merit,性能指标
finite-larmor-radius effect,有限拉莫尔半径效应
finite conductivity,有限导电率
first-wall,第一壁
first moment,一阶矩
fishbone,鱼骨模
fission-fusion reactors,裂变聚变反应堆
FLR effect,有限拉莫尔半径效应
fluctuation,涨落
flux coordinates,磁面坐标
flute instability,槽纹不稳定性
flux function,磁面函数
flux surface,磁面
flux swing,最大伏秒数
Fried-Conte,弗里德-康特等离子体色散函数
fuel injection,燃料注入
Galilean invariance,伽利略不变性
gas discharge,气体放电
gas puffing,喷气
geodesic acoustic mode,测地声模
global,全域
glow discharge,辉光放电
grad-b drift,梯度B漂移
Grad-Shafranov,Grad-Shafranov
grazing collision,擦边碰撞
guiding center,导向中心
gyro,回旋
